shape,z,posx,posy,scale,angle,thickness,energy,curveX,curveY,spread1,spread2,hue_bias,lightness_bias,texture
spiral,20,74.84,78.39,125.46,305.98,6.67,0.574,-24.73,-4.14,149.9,33.5,59.93,0.179,1.379
splatter,21,87.63,84.09,97.08,93.85,9.25,0.35,-1.51,-38.28,110.27,73.03,21.92,0.212,1.219
wave,22,23.82,10.3,46.37,171.53,6.78,0.606,-46.13,-15.05,132.11,97.82,86.01,0.031,2.624
blob,23,63.03,70.06,51.93,308.26,6.77,0.705,-18.43,-56.98,246.2,60.7,27.35,-0.193,1.85
splatter,24,89.91,63.74,100.81,343.61,7.41,0.471,12.82,7.55,199.03,65.09,79.68,0.185,2.806
spiral,25,26.94,34.48,35.0,163.43,8.77,0.411,-32.64,-14.74,60.0,84.29,-24.68,-0.219,0.747
cloud,26,12.73,29.63,54.04,306.52,7.71,0.86,37.49,-11.01,191.69,106.87,22.22,-0.019,2.071
cloud,27,75.69,67.52,60.71,113.86,3.15,0.98,-5.5,-11.89,221.12,60.41,118.95,0.355,1.408
blob,28,28.86,18.56,138.71,336.48,9.02,0.611,-19.01,40.85,217.39,107.83,26.56,0.141,4.386
blob,29,29.78,24.45,46.26,106.15,9.02,0.906,13.0,14.62,60.0,69.98,35.57,0.121,1.588
stroke,30,89.18,48.9,138.34,286.8,6.99,0.729,20.24,9.18,160.92,161.43,-10.05,0.1,1.538
spiral,31,15.84,17.06,77.08,297.01,9.5,0.884,-26.48,-39.37,121.15,34.31,120.0,-0.029,2.269
wave,32,67.53,82.56,122.06,134.93,11.68,0.82,9.96,-15.99,208.11,148.26,30.18,0.137,0.743
wave,33,76.91,73.32,91.15,323.33,6.94,0.922,-30.48,3.69,259.02,81.03,107.04,0.103,1.328
cloud,34,13.83,14.54,40.39,3.81,9.37,0.718,-25.25,35.97,219.78,33.2,-27.06,0.108,1.139
spiral,35,26.73,25.6,104.2,130.34,6.52,0.632,26.81,-56.09,261.59,115.95,32.24,-0.145,1.38
blob,36,24.45,23.5,49.54,41.01,5.27,0.815,-24.14,-22.03,126.48,82.78,44.43,-0.346,0.803
spiral,37,75.15,76.72,86.1,149.09,4.15,0.697,13.24,46.03,185.93,143.43,33.37,0.065,0.76
splatter,38,80.14,68.08,127.86,18.63,7.17,0.806,-29.15,-5.77,109.93,108.23,55.15,0.174,1.95
stroke,39,77.79,70.15,132.08,202.86,11.74,0.35,-62.56,-13.52,123.84,92.32,9.07,0.262,2.292
spiral,40,20.53,19.75,98.16,263.13,3.68,0.874,-7.74,55.19,228.48,125.37,57.39,0.07,3.687
spiral,41,22.75,17.86,134.44,124.58,4.82,0.805,-0.83,-23.59,135.92,121.11,120.0,0.156,0.8
spiral,42,86.4,88.31,139.54,238.03,5.86,0.596,-19.86,-11.8,194.08,95.76,30.03,-0.248,0.513
spiral,43,75.69,60.36,132.32,132.09,7.0,0.779,-67.47,-25.01,200.91,95.76,79.66,-0.087,1.789
spiral,44,65.55,70.77,103.68,21.87,8.89,0.62,6.35,54.65,155.22,115.22,49.17,0.066,1.064
wave,45,68.74,76.98,83.33,178.65,6.65,0.78,-35.88,41.7,203.62,54.98,-100.6,0.125,0.901
stroke,46,78.5,78.23,67.34,118.48,6.12,0.606,26.71,27.98,229.33,70.13,106.11,0.157,0.879
splatter,47,69.43,78.67,105.9,342.72,9.03,0.819,6.15,-24.69,148.98,79.54,20.87,0.075,1.932
spiral,48,9.36,16.32,87.56,35.03,5.93,0.533,-26.68,-15.05,105.92,79.25,78.61,0.082,0.751
stroke,49,73.94,85.48,119.38,164.37,11.32,0.868,-6.77,23.7,182.27,71.06,-21.54,-0.06,2.062
spiral,50,24.34,6.07,88.58,13.94,6.41,0.788,4.56,-17.86,60.0,98.7,85.7,0.163,0.938
cloud,51,71.6,69.27,91.83,148.19,12.93,0.47,-69.58,-50.83,80.44,64.02,58.23,-0.233,1.369
spiral,52,21.71,23.79,67.76,52.24,8.3,0.773,37.37,26.98,188.59,92.54,-4.62,0.072,1.545
stroke,53,81.72,72.3,155.36,225.76,9.6,0.566,32.6,-10.07,144.0,76.77,113.5,-0.182,1.111
cloud,54,87.48,83.65,89.2,144.26,3.91,0.384,33.08,28.1,81.18,117.52,34.56,0.45,1.03
splatter,55,11.48,37.54,58.9,82.08,5.62,0.35,69.22,-7.32,149.92,176.78,74.39,0.372,0.5
stroke,56,26.54,16.37,173.84,136.16,8.24,0.548,-11.87,-41.07,120.0,99.81,60.47,-0.013,1.797
spiral,57,15.36,42.14,112.78,45.87,7.16,0.961,21.92,-0.17,195.5,25.0,36.61,-0.075,1.152
cloud,58,80.66,80.94,47.63,43.37,11.67,0.35,-4.94,-39.63,94.72,72.71,52.94,0.229,1.272
wave,59,24.28,21.76,58.08,42.57,8.63,0.741,-46.73,15.16,155.44,162.97,36.59,0.213,1.722
cloud,60,19.43,25.47,118.52,159.52,7.58,0.677,-11.97,21.18,134.54,169.92,53.93,-0.144,1.737
spiral,61,25.62,18.8,35.0,353.22,9.43,0.556,0.67,2.69,134.01,97.2,-61.0,-0.051,5.5
wave,62,67.86,73.88,100.48,327.01,11.07,0.876,-15.29,33.68,243.84,112.66,-31.48,-0.183,3.412
splatter,63,24.39,34.48,55.01,9.04,2.47,0.944,16.86,-43.69,60.0,147.24,-5.95,0.134,1.598
stroke,64,16.84,31.38,72.78,346.77,7.7,0.431,-33.55,16.77,77.57,102.68,92.37,-0.1,1.705
cloud,65,72.74,83.7,64.52,114.3,4.99,0.97,62.19,-8.92,120.04,43.15,79.0,0.035,1.818
spiral,66,18.37,37.57,97.31,180.34,7.62,0.635,3.83,-14.84,121.42,53.05,-32.66,0.45,4.02
wave,67,63.62,69.61,96.45,299.73,6.01,0.891,-8.18,-28.48,167.03,123.88,40.54,0.106,0.973
splatter,68,85.16,66.79,57.36,275.91,6.96,0.675,15.79,22.41,203.05,106.93,95.29,0.18,1.164
splatter,69,29.66,24.55,48.28,174.23,4.94,0.56,-25.7,27.17,216.16,75.18,87.12,-0.003,1.219
cloud,70,78.45,66.09,73.96,87.8,6.99,0.682,-14.09,19.81,94.32,82.68,101.2,-0.024,1.609
spiral,71,80.99,60.31,164.55,71.58,12.83,0.729,9.03,-39.5,72.35,135.87,40.59,0.109,2.45
stroke,72,80.88,71.73,51.23,108.96,8.07,0.364,36.12,24.65,139.43,69.22,49.17,-0.106,1.693
blob,73,77.28,70.09,90.39,93.01,7.35,0.501,1.17,-33.88,60.0,156.94,73.28,0.168,4.838
spiral,74,23.89,18.96,93.29,23.9,7.54,0.677,-2.13,26.12,173.32,74.68,-22.85,0.058,1.334
stroke,75,14.69,37.58,62.64,160.82,11.29,0.785,-47.25,9.93,78.26,81.46,6.85,0.45,0.778
splatter,76,27.89,17.51,67.58,147.21,3.93,0.35,19.9,15.39,215.54,98.87,19.21,-0.337,1.204
splatter,77,75.86,71.55,72.03,178.6,6.82,0.737,-71.31,4.57,84.9,81.89,39.69,-0.155,0.713
splatter,78,21.34,29.94,135.47,134.27,8.88,0.714,4.78,-13.4,179.16,128.89,49.78,-0.015,1.487
wave,79,65.16,65.65,109.33,330.36,7.46,0.878,-13.64,-17.6,136.64,65.32,19.21,-0.257,2.631
blob,80,14.46,36.1,76.75,90.66,2.27,0.971,-22.28,29.53,60.0,57.23,66.29,-0.035,0.867
splatter,81,74.53,87.49,58.23,350.51,10.25,0.35,13.19,-1.89,110.08,100.2,-32.47,-0.074,2.151
cloud,82,39.45,27.54,79.81,167.16,9.3,0.532,0.45,-65.61,60.0,105.74,27.09,0.214,1.948
splatter,83,78.22,88.47,69.55,289.43,11.98,0.947,-24.86,-17.6,159.43,60.34,61.67,-0.15,1.154
cloud,84,81.16,74.0,35.0,42.19,10.61,0.449,37.17,-34.38,189.47,51.68,120.0,-0.057,1.587
splatter,85,18.71,54.89,106.66,196.27,7.86,0.814,-0.3,-10.77,100.92,52.2,50.54,0.141,1.218
spiral,86,10.76,24.57,96.15,342.94,6.99,0.891,47.07,17.29,131.61,25.26,25.57,0.349,1.46
wave,87,19.48,29.59,150.97,342.81,11.73,0.35,-7.24,-32.5,132.51,54.77,15.15,-0.032,2.378
cloud,88,80.84,82.01,54.48,263.58,12.81,0.826,-1.42,14.46,158.86,60.18,-27.18,0.042,1.663
spiral,89,92.37,62.57,51.71,203.56,10.48,0.796,25.79,-18.86,191.88,139.9,41.27,0.448,2.792
wave,90,21.19,30.04,85.03,129.71,9.85,0.758,-31.07,-3.32,77.28,45.36,-11.99,0.168,1.054
stroke,91,77.93,86.39,87.07,179.87,5.7,0.4,-22.61,-11.66,89.93,78.4,59.17,-0.04,3.761
stroke,92,28.2,22.35,80.88,184.24,5.88,0.35,64.9,33.47,148.86,85.77,45.93,0.075,0.74
stroke,93,18.96,27.21,99.43,83.48,9.97,0.805,3.55,-23.04,122.45,75.79,6.28,0.113,2.437
splatter,94,24.32,36.19,174.06,90.51,10.14,0.84,-12.73,19.63,133.99,140.26,3.54,0.199,0.582
stroke,95,18.58,25.12,181.82,300.6,6.76,0.782,-3.69,15.65,179.59,114.05,13.05,-0.257,0.636
wave,96,23.06,16.39,74.14,81.59,9.72,0.678,29.42,7.19,161.51,31.26,40.85,0.283,5.5
cloud,97,6.77,27.51,110.9,339.33,5.92,0.963,28.2,19.67,258.78,77.3,15.1,-0.16,0.895
wave,98,22.77,20.39,111.67,54.15,6.12,0.822,-5.08,45.56,153.51,125.62,106.42,0.212,1.032
splatter,99,6.37,28.29,193.79,78.18,9.53,0.458,-22.38,-36.05,138.43,155.16,120.0,0.15,1.593
spiral,100,71.87,75.18,92.35,34.07,7.7,0.533,-4.16,-10.98,62.4,172.88,-26.18,0.32,3.212
splatter,101,31.38,26.87,69.85,42.07,6.29,0.871,22.94,-23.88,141.97,63.57,-62.85,-0.258,1.531
spiral,102,30.3,23.88,57.81,275.76,7.18,0.761,-44.59,-56.18,134.3,97.03,27.73,0.303,1.597
stroke,103,69.05,81.89,67.98,305.94,8.41,0.786,-51.52,-1.81,156.79,125.13,34.36,0.078,2.725
splatter,104,70.2,68.98,98.55,17.34,6.59,0.476,6.97,21.86,60.0,94.92,27.29,0.154,2.23
spiral,105,26.24,26.07,55.69,131.66,6.71,0.823,-19.92,16.08,141.54,77.65,-41.71,0.031,1.518
stroke,106,92.02,83.55,175.75,305.59,10.91,0.686,0.49,-17.35,205.71,25.0,-9.3,0.243,1.46
spiral,107,31.56,36.3,77.78,25.98,10.8,0.572,4.58,-14.65,63.64,87.65,-58.78,-0.08,1.389
spiral,108,88.71,87.02,53.96,72.41,10.48,0.847,8.22,1.11,98.69,125.3,-30.69,-0.102,1.919
spiral,109,34.07,32.32,47.12,189.98,9.99,0.86,14.79,-36.97,193.8,73.58,-4.97,-0.45,0.952
stroke,110,100.0,82.73,107.35,193.97,8.75,0.5,28.75,-32.07,106.56,57.27,-3.73,0.128,1.98
wave,111,10.05,29.51,42.54,93.31,7.94,0.561,35.57,38.91,60.0,140.96,41.31,0.138,2.576
spiral,112,14.74,27.8,61.31,241.95,11.21,0.35,-15.35,-41.93,191.61,113.52,-31.93,-0.173,1.508
spiral,113,85.28,70.2,112.67,23.45,3.81,0.696,14.77,5.54,171.76,98.51,41.03,-0.232,1.262
cloud,114,36.28,28.05,54.99,94.68,13.04,0.537,-3.67,-1.22,173.71,87.41,3.78,0.333,2.751
stroke,115,31.38,26.42,102.51,115.21,5.68,0.969,13.82,4.59,183.19,97.2,7.9,-0.224,2.404
cloud,116,79.8,76.88,91.34,46.78,7.53,0.685,23.26,8.24,224.57,94.24,44.94,-0.45,1.607
wave,117,19.48,37.25,125.02,323.06,3.75,0.595,-20.04,-23.84,60.84,116.72,-39.83,0.45,1.769
cloud,118,15.41,13.23,96.76,135.12,8.18,0.711,-18.66,-18.66,186.45,130.7,54.77,-0.235,0.564
stroke,119,11.85,42.42,51.17,9.01,8.92,0.905,15.76,46.82,203.31,138.11,110.58,0.26,0.5
wave,120,25.78,15.26,82.58,102.69,8.62,0.35,-46.19,20.8,163.61,29.27,-2.16,-0.047,1.172
wave,121,29.51,19.64,90.92,284.69,5.3,0.624,16.15,40.68,276.86,72.85,-12.44,-0.109,2.453
blob,122,88.25,70.33,129.19,0.16,7.77,0.854,47.89,21.01,150.72,92.79,55.61,-0.113,1.74
stroke,123,23.92,27.75,50.74,161.22,8.23,0.597,30.51,31.56,95.02,25.0,-11.67,0.114,2.341
spiral,124,84.34,58.24,85.04,206.37,10.23,0.794,5.05,29.69,98.28,55.61,1.08,-0.17,0.953
stroke,125,24.88,22.63,39.94,153.32,2.0,0.702,37.58,17.69,192.08,144.32,-38.04,0.042,1.068
wave,126,18.16,26.79,70.61,32.94,10.83,0.524,-13.98,-27.6,196.33,25.0,-51.89,0.319,0.949
splatter,127,35.45,27.22,119.15,304.14,7.87,0.782,42.57,13.65,60.0,109.35,120.0,0.302,1.241
spiral,128,72.3,85.91,101.22,137.05,10.14,0.731,-29.51,-16.91,187.42,59.76,56.36,-0.132,2.056
cloud,129,81.61,51.31,105.6,197.2,9.66,0.884,4.17,6.16,180.65,113.16,-60.07,0.2,0.956
stroke,130,69.06,71.09,76.75,301.15,6.31,0.441,6.25,34.31,193.34,134.3,32.41,0.06,0.874
cloud,131,20.03,34.15,99.31,27.7,8.35,0.824,-15.89,16.65,168.52,53.1,113.9,-0.158,1.799
cloud,132,24.34,34.12,123.44,80.95,7.34,0.784,-29.99,-21.85,178.18,94.64,23.24,0.047,1.982
splatter,133,20.7,27.68,62.31,231.23,9.63,0.537,-57.41,-14.18,174.93,117.68,55.16,-0.103,2.854
blob,134,24.69,42.25,48.19,65.64,5.28,0.567,0.66,-36.38,232.64,97.29,-3.21,0.042,0.5
cloud,135,9.58,35.56,111.75,94.46,2.91,0.799,-43.38,-4.0,175.43,84.38,100.16,-0.353,0.851
spiral,136,79.45,76.72,55.81,90.21,11.23,0.666,21.96,-10.39,141.43,85.13,73.94,0.14,1.894
spiral,137,64.82,76.21,102.22,147.98,8.32,0.931,3.55,17.33,171.93,38.64,-50.05,0.251,1.003
stroke,138,18.98,39.51,89.07,348.65,8.04,0.955,-26.01,-39.66,219.62,78.25,76.45,-0.33,1.712
blob,139,17.45,26.24,139.61,144.33,11.06,0.831,5.14,-10.5,188.03,84.39,-28.02,0.229,1.953
wave,140,22.32,17.44,77.61,135.27,6.79,0.894,33.12,-11.14,142.27,129.12,-9.01,-0.17,2.146
spiral,141,7.6,18.78,62.72,343.89,11.56,0.523,59.41,45.86,258.43,64.08,-19.54,0.042,1.0
stroke,142,91.64,86.75,55.65,279.3,8.26,0.546,-39.03,39.26,213.15,149.86,23.42,0.082,1.689
cloud,143,23.31,23.0,80.44,117.99,6.5,0.63,-34.75,-51.25,103.37,109.23,104.52,-0.295,0.723
cloud,144,23.14,24.29,54.73,172.87,2.52,0.624,-24.19,-29.81,263.81,68.98,48.47,-0.188,0.993
blob,145,71.99,73.23,84.52,68.02,7.54,0.598,36.67,20.56,154.88,106.37,-21.92,0.125,1.23
wave,146,25.78,30.24,115.11,69.68,6.04,0.665,6.09,-41.85,161.16,144.25,83.61,-0.338,2.316
spiral,147,83.17,67.26,83.86,175.22,7.68,0.434,12.97,-14.97,81.32,155.96,-11.67,0.239,0.553
spiral,148,17.09,34.48,64.93,256.96,8.29,0.684,17.65,-47.09,136.39,25.0,82.62,0.45,3.703
cloud,149,13.89,11.31,97.52,146.62,5.6,0.502,-17.68,-29.33,224.72,143.18,-3.61,-0.138,0.808
wave,150,79.94,75.09,81.92,171.18,5.33,0.39,-26.25,-27.17,256.23,64.57,-2.34,0.217,0.585
spiral,151,88.47,84.94,57.79,122.32,7.85,0.919,19.03,11.06,246.78,96.28,72.87,-0.276,1.296
splatter,152,34.74,28.16,133.1,148.86,11.67,0.371,-11.79,41.5,170.0,103.13,86.6,0.227,0.837
splatter,153,67.53,50.81,94.5,274.94,2.55,0.949,-27.51,20.08,239.09,76.59,-28.79,-0.003,0.951
wave,154,14.83,21.38,161.82,319.91,4.57,0.738,-18.17,19.51,118.79,68.02,-27.17,-0.139,1.175
splatter,155,17.61,22.87,86.8,289.94,7.12,0.803,26.03,-27.24,240.39,31.46,34.04,0.144,1.304
spiral,156,15.18,20.44,115.44,48.6,8.49,0.855,10.5,60.56,237.8,134.22,21.38,-0.108,0.799
splatter,157,66.64,73.22,41.44,354.28,8.62,0.804,-3.46,-0.13,152.4,110.49,115.58,-0.158,0.94
splatter,158,23.75,13.17,167.1,189.74,10.33,0.658,-44.38,-42.39,279.87,131.41,0.71,-0.279,1.013
splatter,159,79.17,80.6,140.8,78.89,5.92,0.798,-18.51,24.2,154.0,33.08,34.94,0.184,1.99
cloud,160,21.31,23.94,82.52,341.05,2.44,0.442,-18.0,-3.43,60.0,85.99,47.63,0.262,0.766
blob,161,70.07,71.48,112.55,98.94,2.49,0.494,17.55,35.59,137.73,25.0,16.63,0.45,1.559
spiral,162,70.97,60.89,115.1,212.92,10.69,0.536,-107.68,-4.92,172.86,81.99,108.56,-0.153,1.485
splatter,163,32.77,38.85,54.2,46.17,8.57,0.76,15.53,-1.22,142.28,89.68,83.76,0.255,2.418
splatter,164,77.96,65.48,78.16,322.93,9.11,0.881,-30.68,-51.71,135.24,25.0,30.59,0.164,3.573
stroke,165,27.2,10.8,105.73,89.49,6.05,0.662,-18.24,26.08,250.73,122.8,-12.84,0.145,0.757
cloud,166,69.43,87.79,43.54,129.15,9.71,0.768,13.37,-16.3,84.59,117.05,81.89,0.335,1.569
wave,167,70.98,72.46,58.3,220.93,6.36,0.686,24.48,0.48,148.8,78.89,83.55,-0.097,0.561
wave,168,78.64,49.83,112.67,146.15,9.04,0.757,1.5,3.62,110.01,53.38,-4.55,0.059,1.546
stroke,169,94.43,66.92,105.17,272.84,7.49,0.882,-47.24,-1.7,180.52,115.38,91.61,-0.309,2.05
stroke,170,72.06,70.19,84.22,282.96,8.72,0.692,13.08,20.69,162.96,25.0,15.27,-0.134,0.807
wave,171,18.37,18.03,89.96,340.48,5.97,0.406,9.17,60.15,173.68,57.59,15.98,0.277,1.478
cloud,172,57.09,62.46,69.25,44.29,5.38,0.716,9.01,12.51,100.51,81.09,-11.24,-0.283,1.142
splatter,173,65.07,57.44,110.96,262.3,2.54,0.798,8.12,22.65,121.7,91.3,-33.85,0.108,0.5
splatter,174,22.21,18.04,82.1,110.58,6.99,0.74,29.12,28.74,208.08,87.38,61.73,-0.128,0.5
cloud,175,80.93,59.76,78.49,144.99,8.66,0.571,-3.93,-25.81,167.26,85.7,36.62,0.434,1.371
spiral,176,29.39,37.81,48.08,248.52,7.08,0.614,-9.36,2.23,200.45,128.3,15.42,0.309,1.997
splatter,177,21.08,48.04,86.89,136.97,8.57,0.929,-9.91,-16.83,82.93,68.83,9.95,-0.387,1.783
spiral,178,92.3,70.84,35.0,239.39,7.08,0.787,-9.86,-15.08,196.34,88.72,19.86,0.45,1.156
splatter,179,32.09,22.78,129.93,345.94,4.35,0.835,0.71,7.18,206.89,39.67,-11.38,-0.247,0.969
blob,180,99.61,70.07,73.44,127.69,8.04,0.651,58.74,-34.28,195.83,106.26,-19.87,0.188,1.701
spiral,181,28.15,19.53,65.09,71.04,8.62,0.489,2.91,28.22,189.24,29.72,81.36,0.307,3.02
wave,182,28.41,15.47,134.86,147.36,7.8,0.364,5.15,8.45,177.16,167.62,32.1,0.172,1.813
splatter,183,19.53,18.91,48.51,291.98,7.3,0.697,29.63,11.26,170.02,134.58,-21.2,0.158,0.795
stroke,184,67.81,63.01,57.87,73.24,11.56,0.479,-28.85,26.42,198.15,59.7,83.92,0.1,0.539
splatter,185,27.13,39.89,110.51,245.58,4.16,0.606,51.69,-14.49,182.01,94.19,-37.77,0.127,1.098
blob,186,27.0,31.61,109.28,51.95,5.37,0.808,14.72,17.29,166.79,65.41,-4.66,-0.025,0.537
stroke,187,91.56,74.11,78.33,25.09,6.08,0.671,26.61,2.36,84.35,100.13,-10.22,0.164,1.841
wave,188,10.65,26.07,85.44,4.52,3.64,0.773,-52.75,-45.54,86.32,25.0,-42.52,0.029,1.6
cloud,189,26.81,20.39,88.18,81.46,11.67,0.717,-1.9,22.75,224.22,70.22,-70.38,0.053,0.549
splatter,190,31.35,18.33,37.08,289.81,4.67,0.477,-17.77,-40.31,72.01,39.04,23.75,0.173,3.042
stroke,191,16.15,34.03,102.92,352.35,3.37,0.551,-43.84,5.87,109.17,56.55,33.09,-0.293,2.643
stroke,192,93.63,78.74,82.13,310.39,7.8,0.704,29.47,31.1,126.91,124.45,-28.63,-0.054,3.044
splatter,193,7.01,33.04,85.18,108.76,5.09,0.886,6.35,-8.33,166.84,128.92,-8.73,-0.138,0.948
blob,194,24.97,21.66,168.64,225.02,5.46,0.644,-59.74,-12.18,67.38,114.66,-52.52,0.318,0.936
splatter,195,21.44,32.96,63.76,274.1,8.76,0.572,31.64,-28.43,186.53,151.42,-60.98,0.019,1.167
blob,196,88.31,66.01,149.13,206.02,2.41,0.531,-32.3,1.53,223.17,61.75,-34.82,0.079,1.247
wave,197,9.47,45.18,106.07,206.65,10.36,0.679,62.34,1.93,166.49,157.13,25.27,0.367,1.985
stroke,198,73.93,72.12,73.67,219.89,3.46,0.55,-35.14,-0.2,112.15,112.21,39.77,0.137,4.997
cloud,199,28.72,27.06,90.07,142.95,2.0,0.54,27.32,1.79,143.93,171.47,-27.18,0.189,2.023
splatter,200,21.85,18.17,54.62,295.87,6.47,0.845,1.76,-11.89,282.86,59.21,-24.88,-0.16,1.055
spiral,201,83.22,75.43,82.02,72.97,11.81,0.537,17.97,-14.49,226.32,67.07,-9.02,0.381,0.986
cloud,202,75.72,65.96,66.14,82.68,8.19,0.768,22.89,8.94,65.22,75.62,-13.54,0.117,2.653
cloud,203,61.42,71.26,107.33,234.22,12.0,0.929,-25.24,-39.71,204.85,89.86,24.92,0.35,0.977
splatter,204,95.47,68.1,85.41,72.41,7.5,0.548,59.45,10.28,95.66,96.44,90.92,0.192,1.936
spiral,205,20.96,30.16,135.99,354.11,8.38,0.797,-35.5,1.59,160.51,116.0,26.97,0.197,1.12
stroke,206,23.14,30.23,74.93,311.13,10.66,0.35,-27.76,45.77,156.1,105.5,84.76,-0.025,0.932
splatter,207,24.78,32.38,70.85,106.33,7.35,0.737,17.66,36.5,154.34,90.82,76.66,0.126,1.745
wave,208,81.22,74.61,106.84,314.24,6.42,0.65,26.38,-20.93,80.98,58.43,77.92,0.07,0.866
stroke,209,86.41,71.42,120.5,55.89,9.86,0.35,-38.64,-24.67,199.57,105.74,62.26,-0.162,0.936
blob,210,19.66,19.17,62.76,346.17,3.62,0.815,-7.54,-0.99,227.38,44.74,-29.7,0.259,1.525
splatter,211,91.08,58.38,123.05,36.48,4.2,0.779,-39.78,-3.4,159.01,198.36,34.89,0.111,0.875
spiral,212,25.38,21.88,95.5,292.55,7.78,0.35,26.07,-31.27,115.8,107.11,-12.6,0.152,1.582
splatter,213,22.16,12.88,47.59,304.36,7.55,0.35,-25.69,-7.69,203.68,122.79,90.05,0.24,2.058
splatter,214,18.03,22.89,91.92,352.63,13.05,0.547,29.9,71.78,234.14,124.07,30.34,0.058,1.506
blob,215,22.34,27.54,35.0,102.04,10.64,0.35,-23.39,57.39,119.13,118.54,29.84,-0.003,2.47
wave,216,71.21,69.69,121.87,235.87,4.64,0.692,-26.97,-38.26,207.43,134.53,117.85,-0.036,0.977
splatter,217,4.37,34.18,162.86,105.26,11.91,0.358,-29.51,11.57,149.17,83.05,-25.75,0.208,3.204
splatter,218,28.08,19.49,74.48,4.46,9.36,0.749,-10.05,-21.12,229.15,56.89,15.7,0.218,1.967
cloud,219,77.11,78.26,76.53,94.64,3.38,0.846,-67.72,-0.81,190.28,56.3,-45.45,0.087,0.572
cloud,220,73.67,73.35,46.71,274.62,6.61,0.35,17.81,18.64,218.94,118.03,79.94,0.221,1.718
cloud,221,15.97,28.08,49.64,213.35,8.9,0.959,-14.8,8.01,164.61,98.54,86.08,0.203,3.521
blob,222,72.47,73.31,42.89,53.36,6.01,0.741,-24.89,18.98,156.66,138.4,46.7,-0.008,0.853
blob,223,26.25,22.8,79.24,196.39,6.72,0.822,-50.59,10.39,148.79,52.41,115.81,0.386,2.595
spiral,224,25.34,21.48,95.19,23.91,3.66,0.693,-45.46,3.16,229.42,87.11,45.29,0.421,2.712
wave,225,14.84,20.93,35.0,359.17,7.54,0.353,38.09,-20.84,83.85,129.78,50.44,-0.253,0.811
stroke,226,18.81,21.22,130.34,196.1,2.0,0.714,-27.38,27.1,60.0,52.2,22.6,0.269,0.901
cloud,227,68.93,82.4,80.17,240.97,4.66,0.932,4.02,-5.82,227.49,52.9,71.07,0.052,1.88
blob,228,93.23,84.84,123.05,308.78,9.71,0.696,19.6,-7.9,159.39,90.01,82.31,0.299,1.67
cloud,229,77.09,68.97,123.48,348.03,7.15,0.535,-9.53,-63.39,202.1,114.72,97.17,0.246,1.147
cloud,230,59.62,77.4,53.62,244.5,8.17,0.462,39.72,9.09,160.19,107.3,42.74,-0.325,0.522
stroke,231,25.4,23.57,69.84,183.3,7.18,0.39,-17.58,18.8,181.13,99.05,52.41,-0.321,4.18
spiral,232,11.82,12.02,46.13,163.55,8.99,0.889,13.69,37.35,175.2,112.84,103.84,-0.114,1.269
stroke,233,72.43,70.7,35.0,285.45,8.04,0.423,51.35,-20.04,211.14,98.39,94.73,-0.312,1.905
