shape,z,posx,posy,scale,angle,thickness,energy,curveX,curveY,spread1,spread2,hue_bias,lightness_bias,texture
wave,68,84.29,78.0,96.45,152.55,3.97,0.742,10.54,23.31,60.42,78.11,49.02,0.292,0.5
splatter,69,82.18,63.46,62.09,233.17,6.5,0.475,-48.2,-16.15,164.25,166.19,55.29,0.091,0.685
spiral,70,25.07,31.61,75.76,273.53,5.67,0.495,-11.08,-37.7,138.33,25.0,59.14,0.21,2.309
spiral,71,8.9,37.44,46.72,128.43,6.63,0.369,-39.62,-24.07,101.2,94.78,17.04,-0.066,0.779
spiral,72,11.14,28.27,109.77,6.54,9.25,0.35,16.88,-29.76,199.48,84.46,18.01,0.134,1.094
spiral,73,22.72,15.5,35.0,119.83,8.01,0.504,19.55,48.13,60.0,98.54,-15.52,-0.025,0.803
stroke,74,74.06,91.36,93.72,62.56,8.34,0.839,6.79,-0.07,232.91,41.59,46.48,-0.062,0.764
stroke,75,30.87,25.58,35.0,273.44,6.39,0.959,-11.79,-14.83,180.18,77.54,23.54,-0.362,1.193
cloud,76,72.3,74.98,45.98,88.57,8.45,0.744,-13.31,-14.98,178.0,25.0,71.41,-0.055,2.758
cloud,77,29.43,27.77,165.22,68.09,9.88,0.424,0.59,-40.96,141.11,92.13,90.09,-0.031,1.707
wave,78,19.42,17.65,55.55,64.67,6.93,0.432,6.99,73.2,60.23,92.29,71.88,-0.125,2.271
spiral,79,20.59,25.59,81.3,126.82,5.61,0.633,6.74,15.2,112.32,90.81,115.25,-0.16,0.898
cloud,80,22.24,22.88,183.56,134.33,10.8,0.716,17.5,42.16,162.51,60.59,51.38,0.401,0.723
splatter,81,81.31,90.38,133.45,265.1,8.83,0.98,1.05,-41.83,301.74,58.93,120.0,-0.02,1.534
splatter,82,65.99,61.85,91.75,209.43,9.62,0.535,-14.0,0.38,267.26,89.89,63.29,0.218,2.228
splatter,83,16.94,22.01,112.77,6.69,9.21,0.815,-34.36,-15.81,182.92,134.2,46.27,0.139,1.125
cloud,84,17.71,10.38,58.14,260.2,6.25,0.784,52.91,-5.9,231.64,86.52,9.54,0.05,0.786
stroke,85,86.81,73.08,74.33,242.51,10.03,0.552,4.83,-45.2,105.85,127.99,22.98,-0.331,0.856
cloud,86,29.59,25.88,57.99,113.8,7.66,0.35,0.67,-9.44,148.62,67.45,66.45,0.038,1.239
splatter,87,14.25,35.51,142.63,201.66,5.86,0.604,21.87,27.14,247.48,82.87,59.8,0.022,1.237
splatter,88,22.87,37.39,93.52,153.4,13.76,0.93,5.63,-13.18,135.36,120.95,47.53,-0.288,2.297
wave,89,74.34,78.97,92.23,105.05,6.95,0.612,51.37,-6.84,208.35,43.48,120.0,0.302,1.8
wave,90,24.3,25.03,68.08,89.73,7.69,0.98,-58.29,-75.99,164.86,91.5,115.17,-0.366,2.174
spiral,91,26.09,29.47,44.14,340.0,8.05,0.561,31.78,54.55,188.34,142.3,-50.12,-0.231,2.8
cloud,92,78.27,74.19,181.34,295.64,8.92,0.527,-16.08,9.63,187.14,54.96,-5.24,-0.025,1.805
stroke,93,85.84,74.22,104.26,82.75,12.07,0.507,-29.39,-17.24,192.81,91.92,0.41,-0.078,3.27
stroke,94,73.04,63.27,129.67,260.21,10.69,0.856,52.13,-13.47,153.86,34.36,120.0,0.19,1.304
blob,95,17.24,20.31,77.92,198.87,4.51,0.921,-9.59,-22.37,125.6,108.39,109.87,0.41,2.116
blob,96,27.66,38.3,79.97,109.45,3.93,0.738,-45.22,-2.28,187.28,48.56,-37.46,-0.115,1.378
splatter,97,76.83,73.14,149.85,24.45,8.29,0.767,-24.6,-8.58,166.79,123.81,42.03,-0.13,1.743
spiral,98,12.17,21.85,62.42,273.87,7.61,0.828,-8.62,10.89,141.4,70.44,-52.77,0.033,2.143
spiral,99,66.85,64.34,48.42,313.48,10.52,0.641,46.12,-6.58,205.15,79.42,34.45,0.074,1.935
blob,100,25.18,28.12,37.91,259.4,7.85,0.929,18.0,-10.21,145.04,111.8,39.69,0.235,2.362
